ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Distance,Stream,Species,Sex,lat_Location,long_Location,accuracy_Location,UTM_Northing_Location,UTM_Easting_Location,UTM_Zone_Location,Notes,15_Photo,Type,Carcass_Location,Predation,Length_Inches,Width_Inches,Carcass_Age,Spawning_Success,Adipose_Fin,Activity
10cc070b-6d63-4302-abaf-a2a0461f602a,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:21:50.042Z,2022-12-10T21:18:37.000Z,"0 Chum Dead",0,"Piper's Creek",Chum,Male,47.711571,-122.380071,10,5284429,546501,10T,,,Dead,"Outside of creek",Yes,25,5,"Greater than 24 hours","Partially spawned",,
208331e6-db61-4530-a947-5b2eefb09e6a,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T19:03:56.379Z,2022-12-10T19:37:35.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711251,-122.373882,6,5284397,546965,10T,"Found way up bank",,Dead,"Outside of creek",Yes,,,"Greater than 24 hours",Unknown,,
d58d9b82-cedb-4b2d-bcd0-eac94668b3d2,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:03:23.473Z,2022-12-10T21:18:36.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711079,-122.37383,10,5284378,546969,10T,,,Dead,"In creek",No,22,5,"Greater than 24 hours",Spawned,,
e46f433f-6350-46b8-b895-32061ca72501,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T19:03:11.569Z,2022-12-10T19:37:32.000Z,"1420 Coho Dead",1420,"Piper's Creek",Coho,Unknown,47.711212,-122.373925,10,5284393,546962,10T,,,Dead,"Outside of creek",Yes,,,,Unknown,,
7869b4e1-6e4c-4664-9c7a-5edea62ccffc,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:01:40.731Z,2022-12-10T21:18:34.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711076,-122.37385,5,5284378,546968,10T,,,Dead,"In creek",No,25,4,"Greater than 24 hours",Spawned,,
23762482-2b7f-426c-bdc9-21eb8899cde1,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T19:01:39.587Z,2022-12-10T19:01:43.000Z,"900 Chum Live",900,"Piper's Creek",Chum,Unknown,47.711235,-122.37417,15,5284395,546943,10T,,,Live,,,,,,,,
0c55ab8e-2dde-4100-9d26-76294ec0fc4a,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:00:45.969Z,2022-12-10T21:18:32.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Male,47.711048,-122.373891,4,5284375,546965,10T,,,Dead,"In creek",No,27,5.5,"Greater than 24 hours",Spawned,,
cf463799-b3f4-46f4-ad32-32ede9f54667,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:58:57.023Z,2022-12-10T21:18:30.000Z,"1365 Chum Dead",1365,"Piper's Creek",Chum,Male,47.711055,-122.373869,7,5284375,546966,10T,,,Dead,"In creek","Eye loss",23,5,"Greater than 24 hours","Partially spawned",,
c5b330d3-2e3f-4e56-97fe-fd1cfba466df,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:58:51.981Z,2022-12-10T19:01:18.000Z,"1370 Chum Dead",1370,"Piper's Creek",Chum,Male,47.71131,-122.374432,11,5284403,546924,10T,,,Dead,"In creek",Yes,22.5,4.5,"Greater than 24 hours","Partially spawned",,
79263cba-d261-4395-98b7-b7ed7df42efa,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:57:05.288Z,2022-12-10T21:18:28.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711032,-122.373822,9,5284373,546970,10T,,,Dead,"In creek",No,23.5,4.5,"Greater than 24 hours",Spawned,,
5eb1e1a4-ace5-4da3-a28d-40bceb4bad02,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:57:03.345Z,2022-12-10T19:01:15.000Z,"1300 Chum Dead",1300,"Piper's Creek",Chum,Female,47.711325,-122.374459,5,5284405,546922,10T,,,Dead,"In creek",Yes,25,,,Unknown,,
497aa89d-ea83-44fb-b59e-fa4af7a43614,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:54:20.817Z,2022-12-10T21:18:27.000Z,"1450 Chum Dead",1450,"Piper's Creek",Chum,Female,47.711099,-122.373853,11,5284380,546967,10T,,,Dead,"In creek",No,24,4,"Greater than 24 hours",Spawned,,
f4f1b5e8-9840-4a7f-9321-09fe9b24042e,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:53:49.939Z,2022-12-10T19:01:13.000Z,"1300 Chum Dead",1300,"Piper's Creek",Chum,Female,47.711342,-122.37439,14,5284407,546927,10T,,,Dead,"In creek","Eye loss",20.5,4.5,"Greater than 24 hours","Partially spawned",,
ba7318d5-2449-4d61-8d11-c9f83ccdb9c6,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:52:04.142Z,2022-12-10T21:18:25.000Z,"1460 Chum Dead",1460,"Piper's Creek",Chum,Female,47.711012,-122.373676,5,5284371,546981,10T,,,Dead,"In creek","Eye loss",22.5,4.25,"Greater than 24 hours",Spawned,,
569bfbd8-f78d-4d27-b2e1-ed1e57fe07c3,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:45:21.017Z,2022-12-10T21:18:23.000Z,"1498 Chum Dead",1498,"Piper's Creek",Chum,Female,47.711082,-122.373215,4,5284379,547015,10T,,,Dead,"In creek","Eye loss",25,4.25,"Greater than 24 hours",Spawned,,
e46690ec-0aba-4f19-ab38-34cf32f5a2b6,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:43:16.820Z,2022-12-10T21:18:21.000Z,"1595 Chum Dead",1595,"Piper's Creek",Chum,Female,47.711099,-122.37303,6,5284381,547029,10T,,,Dead,"In creek","Eye loss",23.5,4,"Greater than 24 hours",Spawned,,
a947ce67-4f1d-49ed-b596-40fa7b7dd35d,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:41:29.076Z,2022-12-10T21:18:20.000Z,"1620 Chum Dead",1620,"Piper's Creek",Chum,Male,47.711047,-122.372933,11,5284375,547036,10T,,,Dead,"In creek","Eye loss",24.5,5,"Greater than 24 hours",Spawned,,
bb9ef86b-8b6d-4343-a703-0cd6e9b761b3,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:39:42.758Z,2022-12-10T21:18:18.000Z,"1660 Chum Dead",1660,"Piper's Creek",Chum,Female,47.711069,-122.372896,6,5284377,547039,10T,,,Dead,"In creek",Yes,25,4.5,"Greater than 24 hours",Unknown,,
2b68260d-30e1-4811-adef-8f7c72c3d940,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:39:08.019Z,2022-12-10T19:01:10.000Z,"720 Chum Dead",720,"Piper's Creek",Chum,Male,47.711459,-122.376618,5,5284419,546760,10T,,,Dead,"On creek bank","Eye loss",25,5,"Greater than 24 hours",Unspawned,,
f7dcd330-cc5f-45de-a643-abe6022aeb54,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:36:59.318Z,2022-12-10T19:01:09.000Z,"630 Chum Dead",630,"Piper's Creek",Chum,Male,47.711545,-122.376954,5,5284428,546734,10T,,,Dead,"In creek",No,23.5,5,"Greater than 24 hours",Spawned,,
ce362791-7202-48db-bee6-bd67091fb0c6,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:35:24.169Z,2022-12-10T19:01:06.000Z,"638 Chum Dead",638,"Piper's Creek",Chum,Female,47.711541,-122.377008,18,5284427,546730,10T,,,Dead,"In creek","Eye loss",25,4,"Greater than 24 hours",Spawned,,
306afe49-be52-4f12-a0f6-3fdf6ddb25c7,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:32:29.659Z,2022-12-10T19:01:04.000Z,"590 Chum Dead",590,"Piper's Creek",Chum,Female,47.711611,-122.37708,4,5284435,546725,10T,,,Dead,"In creek",Yes,24,,"12-24 hours",Unknown,,
24356ecf-be6e-49d5-8326-8339db61f831,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:31:47.806Z,2022-12-10T19:01:02.000Z,"600 Chum Dead",600,"Piper's Creek",Chum,Male,47.711609,-122.377067,4,5284435,546726,10T,,,Dead,"In creek",No,25,6,"Greater than 24 hours","Partially spawned",,
28446274-0e1d-4cff-b809-7da166531481,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:27:35.399Z,2022-12-10T19:01:00.000Z,"550 Chum Dead",550,"Piper's Creek",Chum,Male,47.7116,-122.377204,6,5284434,546716,10T,,,Dead,"Outside of creek",Yes,23,5.5,"Greater than 24 hours",Spawned,,
87b6cc47-b079-4ea5-a3f8-24525573912c,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:18:07.282Z,2022-12-10T19:00:58.000Z,"430 Chum Dead",430,"Piper's Creek",Chum,Female,47.711713,-122.377758,5,5284446,546674,10T,,,Dead,"In creek","Eye loss",24,4.5,"Greater than 24 hours",Spawned,,
bf4953bb-d706-47e6-b1ac-ece56496d0cb,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:16:22.068Z,2022-12-10T19:00:56.000Z,"400 Chum Dead",400,"Piper's Creek",Chum,Female,47.711711,-122.377772,5,5284446,546673,10T,,,Dead,"In creek",No,23,4.5,"Greater than 24 hours",Spawned,,
0564f900-2bc0-40d9-a046-3ddc753ea64d,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:12:58.010Z,2022-12-10T19:00:53.000Z,"400 Chum Dead",400,"Piper's Creek",Chum,Female,47.7117,-122.377781,4,5284445,546672,10T,,,Dead,"In creek",Yes,23,5,"Greater than 24 hours",Spawned,,
865e84d8-4b7c-4201-97c2-d77370e68dba,9e9e8f02-0701-4042-aa5e-fa7ef6e26d53,2022-12-10T18:02:37.137Z,2022-12-10T21:08:57.000Z,"80 Chum Dead",80,"Piper's Creek",Chum,Female,47.711753,-122.37889,5,5284450,546589,10T,,,Dead,"In creek","Eye loss",24,4.5,"Greater than 24 hours",Spawned,,
7e30eda7-00f4-45f3-8e7c-145e099b976b,9e9e8f02-0701-4042-aa5e-fa7ef6e26d53,2022-12-10T18:00:56.826Z,2022-12-10T21:08:55.000Z,"65 Chum Dead",65,"Piper's Creek",Chum,Female,47.711729,-122.378678,5,5284447,546605,10T,,,Dead,"In creek",No,25,5,"Greater than 24 hours",Spawned,,
4145225c-d1b7-4705-96da-4d1929a05a01,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T17:47:41.174Z,2022-12-10T19:00:51.000Z,"230 Chum Dead",230,"Piper's Creek",Chum,Male,47.711978,-122.37911,24,5284475,546572,10T,,,Dead,"In creek",No,24.5,6,"Greater than 24 hours",Spawned,,
8e6371f6-4bb2-46fc-b432-04f0dbffbc60,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:45:12.770Z,2022-12-06T19:58:38.000Z,"1430 Chum Dead",1430,"Piper's Creek",Chum,Unknown,47.711198,-122.373786,4,5284391,546972,10T,,,Dead,"In creek",Yes,,,"Greater than 24 hours",Unknown,,
00ccd819-293d-4325-98e8-c52908bef550,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:44:32.512Z,2022-12-06T19:58:36.000Z,"1435 Chum Dead",1435,"Piper's Creek",Chum,Female,47.71119,-122.373771,5,5284390,546973,10T,,,Dead,"In creek",Yes,25.5,5,"Greater than 24 hours",Unknown,,
73db6d0b-f127-4b3b-97e2-376463f01ee2,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:42:11.336Z,2022-12-06T20:08:53.000Z,"1500 Chum Dead",1500,"Piper's Creek",Chum,Female,47.711223,-122.373474,11,5284394,546996,10T,,,Dead,"In creek","Eye loss",21.25,3.75,"Greater than 24 hours",Spawned,,
ca10ce0f-6670-4353-8d48-9439c094e030,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:41:18.646Z,2022-12-06T19:58:42.000Z,"1415 Chum Dead",1415,"Piper's Creek",Chum,Female,47.711266,-122.37388,6,5284399,546965,10T,,,Dead,"In creek",No,23,4,"Greater than 24 hours",Spawned,,
680b0aa1-6320-4c1d-9e93-c289b556aafa,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:40:49.689Z,2022-12-06T19:58:34.000Z,"1450 Chum Dead",1450,"Piper's Creek",Chum,Female,47.711224,-122.373775,5,5284394,546973,10T,,,Dead,"In creek",No,25,4.5,"12-24 hours","Partially spawned",,
a39b15a3-40cd-45c8-93da-59560cd1b188,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:39:52.529Z,2022-12-18T02:55:33.000Z,"1590 Chum Dead",1590,"Piper's Creek",Chum,Male,47.711286,-122.373076,5,5284402,547025,10T,"17DEC2022 SLF Length corrected from 255 to 25.",,Dead,"In creek",No,25,5,"Greater than 24 hours",Spawned,,
4423994a-cd42-4ae8-bd59-6c76b162021a,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:39:49.290Z,2022-12-06T19:58:39.000Z,"1410 Chum Dead",1410,"Piper's Creek",Chum,Male,47.71119,-122.373902,8,5284390,546964,10T,,,Dead,"In creek","Eye loss",23.5,4.5,"Greater than 24 hours",Spawned,,
f5df5359-0bac-42c6-a9ed-4b7cb44286be,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:38:54.222Z,2022-12-06T19:58:31.000Z,"1450 Chum Dead",1450,"Piper's Creek",Chum,Female,47.711285,-122.373667,8,5284401,546981,10T,,,Dead,"In creek",No,20.5,4,"Greater than 24 hours",Unspawned,,
68c663c6-6235-48f1-ac5f-9bc3acfcbca4,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:38:22.965Z,2022-12-06T20:08:48.000Z,"1600 Chum Dead",1600,"Piper's Creek",Chum,Male,47.71123,-122.373114,5,5284395,547023,10T,,,Dead,"In creek","Eye loss",22.5,4.25,"Greater than 24 hours",Unspawned,,
d9470781-56c5-4419-92c8-d2632def7912,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:37:37.940Z,2022-12-06T19:58:35.000Z,"1395 Chum Dead",1395,"Piper's Creek",Chum,Female,47.711194,-122.373934,4,5284391,546961,10T,,,Dead,"In creek",Yes,22.5,4.5,"Greater than 24 hours",Spawned,,
aaa45e91-9c5b-45b5-8d16-bd3e09e1d12f,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:36:54.834Z,2022-12-06T20:08:47.000Z,"1600 Chum Dead",1600,"Piper's Creek",Chum,Female,47.711299,-122.373042,11,5284403,547028,10T,,,Dead,"In creek",No,23.5,4.25,"Greater than 24 hours",Spawned,,
a5b395f1-c5e0-4830-988f-d2bf2f62a220,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:36:54.744Z,2022-12-06T19:58:32.000Z,"1395 Chum Dead",1395,"Piper's Creek",Chum,Male,47.711205,-122.37402,6,5284392,546955,10T,,,Dead,"In creek",Yes,26.5,6,"Greater than 24 hours",Spawned,,
a3b31dc1-e293-42ec-8110-d07ee94a120f,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:36:08.091Z,2022-12-06T19:58:30.000Z,"1395 Chum Dead",1395,"Piper's Creek",Chum,Female,47.71129,-122.374166,6,5284401,546944,10T,,,Dead,"In creek","Eye loss",23,4.5,"Greater than 24 hours",Spawned,,
3d29bd44-564d-4446-9490-92ce71831938,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:36:04.460Z,2022-12-06T20:08:44.000Z,"1600 Chum Dead",1600,"Piper's Creek",Chum,Female,47.711241,-122.37303,11,5284397,547029,10T,,,Dead,"In creek","Eye loss",21.5,3.75,"Greater than 24 hours",Spawned,,
f88c833e-850e-445f-88b5-1b705f3080e2,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:35:50.008Z,2022-12-06T19:58:30.000Z,"1470 Chum Dead",1470,"Piper's Creek",Chum,Male,47.711291,-122.373674,4,5284402,546981,10T,,,Dead,"In creek","Eye loss",25.5,5.5,"Greater than 24 hours",Spawned,,
eb246728-457e-435a-9d75-bb1112e02837,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:34:29.810Z,2022-12-06T20:08:43.000Z,"1600 Chum Dead",1600,"Piper's Creek",Chum,Female,47.711316,-122.373077,11,5284405,547025,10T,,,Dead,"In creek",No,23,4,"Greater than 24 hours",Spawned,,
ee05a7f2-832e-4cee-8c46-82d7a8a5476c,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:33:44.260Z,2022-12-06T19:58:28.000Z,"1465 Chum Dead",1465,"Piper's Creek",Chum,Female,47.711273,-122.37368,5,5284400,546980,10T,,,Dead,"In creek",No,22,4,"12-24 hours",Spawned,,
ff06bf7d-0be7-4cb9-a90a-4b5c95d6c27d,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:33:37.892Z,2022-12-06T19:58:28.000Z,"1360 Chum Dead",1360,"Piper's Creek",Chum,Male,47.711259,-122.374067,4,5284398,546951,10T,,,Dead,"In creek","Eye loss",27.5,7,"Greater than 24 hours",Spawned,,
e1ad68a9-d9a3-403c-8366-265a09f9bbee,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:32:39.287Z,2022-12-06T19:58:26.000Z,"1360 Chum Dead",1360,"Piper's Creek",Chum,Male,47.711184,-122.374162,4,5284390,546944,10T,,,Dead,"In creek",No,26.5,4.5,"Greater than 24 hours",Spawned,,
85e09c24-ceda-4afd-b470-f757fd72b64f,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:32:21.898Z,2022-12-06T19:58:25.000Z,"1470 Chum Dead",1470,"Piper's Creek",Chum,Male,47.711167,-122.373662,5,5284388,546982,10T,,,Dead,"In creek",No,24,4.5,"Greater than 24 hours",Spawned,,
41961a19-effb-4acb-aaeb-aead57f736bc,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:31:42.464Z,2022-12-06T19:58:23.000Z,"1360 Chum Dead",1360,"Piper's Creek",Chum,Female,47.711206,-122.374202,6,5284392,546941,10T,,,Dead,"In creek","Eye loss",23,5,"Greater than 24 hours",Spawned,,
29e9206c-7320-4c57-a793-b04f02d6a891,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:30:56.084Z,2022-12-06T19:58:21.000Z,"1360 Chum Dead",1360,"Piper's Creek",Chum,Female,47.711269,-122.374109,4,5284399,546948,10T,,,Dead,"In creek","Eye loss",24,5,"Greater than 24 hours",Spawned,,
63ad1b12-7857-417a-ae47-d00eb4579740,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:28:27.997Z,2022-12-06T20:08:41.000Z,"1690 Chum Dead",1690,"Piper's Creek",Chum,Female,47.71104,-122.372861,5,5284374,547042,10T,,,Dead,"In creek","Eye loss",25.5,4.75,"Greater than 24 hours",Spawned,,
e6b2a1ba-d577-4155-b9dc-bf021dd96cc5,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:26:52.418Z,2022-12-06T20:08:38.000Z,"1660 Chum Dead",1660,"Piper's Creek",Chum,Female,47.711056,-122.372782,22,5284376,547048,10T,,,Dead,"In creek","Eye loss",25.5,4.5,"Greater than 24 hours",Spawned,,
05a24bd9-76c8-41f0-b48a-e9e573720852,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:26:36.465Z,2022-12-06T19:58:19.000Z,"1265 Chum Dead",1265,"Piper's Creek",Chum,Female,47.711257,-122.374375,4,5284397,546928,10T,,,Dead,"In creek",No,24,5,"Greater than 24 hours",Spawned,,
efaf34a4-c2fa-42d8-b886-51b99cefaa27,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:25:42.770Z,2022-12-06T20:08:37.000Z,"1690 Chum Dead",1690,"Piper's Creek",Chum,Female,47.711155,-122.372686,6,5284387,547055,10T,,,Dead,"On creek bank","Eye loss",25,4.5,"Greater than 24 hours",Spawned,,
50f0a0c6-de64-41cc-9af0-f1bfc91ad2f9,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:25:42.449Z,2022-12-06T19:58:17.000Z,"1265 Chum Dead",1265,"Piper's Creek",Chum,Male,47.711248,-122.374455,4,5284396,546922,10T,,,Dead,"In creek","Eye loss",24,5,"Greater than 24 hours",Spawned,,
be010b5d-ffc9-4e8f-89c9-d7a0af331aec,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:25:11.564Z,2022-12-06T19:58:15.000Z,"1260 Chum Dead",1260,"Piper's Creek",Chum,Male,47.711296,-122.374427,4,5284402,546924,10T,,,Dead,"In creek","Eye loss",23.5,4.5,"Greater than 24 hours","Partially spawned",,
155a5424-9a35-4bfa-b89b-3d8719c60043,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:23:57.485Z,2022-12-06T19:58:13.000Z,"1260 Chum Dead",1260,"Piper's Creek",Chum,Female,47.711244,-122.374446,4,5284396,546923,10T,,,Dead,"In creek","Eye loss",24,4,"Greater than 24 hours",Spawned,,
502f00a2-edef-498b-b9f3-769a4ca1867b,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:23:00.124Z,2022-12-06T20:08:35.000Z,"1840 Chum Dead",1840,"Piper's Creek",Chum,Female,47.71111,-122.372415,37,5284382,547075,10T,,,Dead,"On creek bank",Yes,24,4.25,"Greater than 24 hours",Spawned,,
596ff9da-e9a1-48d0-a6ca-728e5059e98e,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:22:47.606Z,2022-12-06T19:58:11.000Z,"1260 Chum Dead",1260,"Piper's Creek",Chum,Male,47.711221,-122.374498,4,5284393,546919,10T,,,Dead,"In creek","Eye loss",23,5.5,"Greater than 24 hours",Spawned,,
d933aa22-0313-438d-a109-5d2119f56c0a,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:21:18.060Z,2022-12-06T19:58:23.000Z,"1080 Chum Dead",1080,"Piper's Creek",Chum,Male,47.711336,-122.375047,6,5284406,546878,10T,,,Dead,"In creek",No,24,4.5,"Greater than 24 hours","Partially spawned",,
e392d7aa-8448-48c9-a5f0-cca88581e326,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:20:53.953Z,2022-12-06T19:58:09.000Z,"1245 Chum Dead",1245,"Piper's Creek",Chum,Female,47.711141,-122.374543,4,5284384,546916,10T,,,Dead,"In creek","Eye loss",25,4,"Greater than 24 hours",Spawned,,
8eb7dbc3-4194-45ab-a37f-9faaff71bf94,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:19:44.272Z,2022-12-06T19:58:21.000Z,"1080 Chum Dead",1080,"Piper's Creek",Chum,Male,47.711359,-122.375122,5,5284408,546872,10T,,,Dead,"In creek",No,25,5,"Greater than 24 hours",Unspawned,,
b7c36bda-135a-4776-b4b2-1c318899fb1c,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:18:48.069Z,2022-12-06T20:08:32.000Z,"1870 Chum Dead",1870,"Piper's Creek",Chum,Female,47.712175,-122.370446,19,5284502,547222,10T,,,Dead,"In creek","Eye loss",25,4.75,"Greater than 24 hours",Spawned,,
982942db-7e9a-4edd-afc3-acdb8b49e48f,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:17:19.294Z,2022-12-06T19:58:19.000Z,"1070 Chum Dead",1070,"Piper's Creek",Chum,Female,47.711316,-122.375198,4,5284404,546866,10T,,,Dead,"In creek",No,22,4,"Greater than 24 hours",Spawned,,
7d2e2039-0ba3-4c38-9730-d3f576c83fb5,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:14:03.747Z,2022-12-06T19:58:17.000Z,"1025 Chum Dead",1025,"Piper's Creek",Chum,Female,47.711412,-122.375359,4,5284414,546854,10T,,https://five.epicollect.net/api/media/salmon-survey-2022?type=photo&format=entry_original&name=7d2e2039-0ba3-4c38-9730-d3f576c83fb5_1670354032.jpg,Dead,"In creek",No,26.5,5.5,"1-12 hours",Spawned,,
46a9fc4d-4297-478d-8e20-a46554467f88,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:12:42.818Z,2022-12-06T19:58:07.000Z,"1150 Chum Dead",1150,"Piper's Creek",Chum,Unknown,47.711455,-122.37483,4,5284419,546894,10T,,,Dead,"In creek","Eye loss",26.5,,"Greater than 24 hours",Unknown,,
aba12b88-76c2-4249-9eeb-f1fdef31213a,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:10:30.897Z,2022-12-06T19:58:15.000Z,"965 Chum Dead",965,"Piper's Creek",Chum,Female,47.711433,-122.375575,4,5284416,546838,10T,,,Dead,"In creek",No,24.5,4,"12-24 hours",Unknown,,
366d47e3-26b5-42a5-bb53-e8225f212478,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:07:09.185Z,2022-12-06T19:58:13.000Z,"920 Chum Dead",920,"Piper's Creek",Chum,Female,47.711278,-122.375563,5,5284399,546839,10T,,,Dead,"In creek","Eye loss",23,4,"12-24 hours",Spawned,,
c7acf43f-a736-4e4e-a92a-85509a6addd8,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:04:55.982Z,2022-12-06T19:58:05.000Z,"860 Chum Dead",860,"Piper's Creek",Chum,Female,47.71145,-122.376053,4,5284418,546802,10T,,,Dead,"In creek",No,23.5,4,"Greater than 24 hours",Spawned,,
91bbaa3b-ba53-4a63-9e46-e1ee578a2be0,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:00:53.244Z,2022-12-06T19:58:11.000Z,"685 Chum Dead",685,"Piper's Creek",Chum,Female,47.711534,-122.376616,8,5284427,546760,10T,,,Dead,"In creek",Yes,23.5,4,"12-24 hours",Unknown,,
e1c1b4cf-b801-420d-ac84-6702ca1b554c,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:00:17.839Z,2022-12-06T19:58:03.000Z,"685 Chum Dead",685,"Piper's Creek",Chum,Male,47.711508,-122.376537,4,5284424,546766,10T,,,Dead,"In creek","Eye loss",23,4,"Greater than 24 hours",Spawned,,
493ad9b9-c9d9-4514-a0d0-8512dc67eb68,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T18:59:02.742Z,2022-12-06T19:58:01.000Z,"685 Chum Dead",685,"Piper's Creek",Chum,Female,47.711563,-122.376569,4,5284430,546763,10T,,,Dead,"In creek",No,20.5,3.5,"Less than 1 hour",Unknown,,
71b524f8-79fc-405c-9364-bca287b71a71,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T18:57:22.603Z,2022-12-06T19:57:58.000Z,"685 Chum Dead",685,"Piper's Creek",Chum,Male,47.711575,-122.376551,7,5284432,546765,10T,,,Dead,"In creek","Eye loss",25,5.5,"Greater than 24 hours",Spawned,,
58781cd8-d602-4c84-abdd-4d6e7e950bd6,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T18:54:03.159Z,2022-12-06T19:58:09.000Z,"665 Chum Dead",665,"Piper's Creek",Chum,Female,47.711617,-122.377535,4,5284436,546691,10T,,,Dead,"In creek",No,24,4,"Greater than 24 hours",Spawned,,
