ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Distance,Stream,Species,Sex,lat_Location,long_Location,accuracy_Location,UTM_Northing_Location,UTM_Easting_Location,UTM_Zone_Location,Notes,15_Photo,Type,Carcass_Location,Predation,Length_Inches,Width_Inches,Carcass_Age,Spawning_Success,Adipose_Fin,Activity
239bfb71-5c04-44c6-b770-cbf196ecdfde,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:34:00.526Z,2022-11-08T22:32:00.000Z,"1975 Coho Live",1975,"Piper's Creek",Coho,Male,47.710813,-122.37161,4,5284350,547136,10T,,,Live,,,,,,,,
7d72dd8b-cef1-46e4-9f08-57d1d4c33042,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:33:10.203Z,2022-11-08T22:31:57.000Z,"1975 Chum Live",1975,"Piper's Creek",Chum,Male,47.710784,-122.371772,5,5284347,547124,10T,,,Live,,,,,,,,
de1a6e65-9f64-4708-abe0-56a37109846c,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:32:38.637Z,2022-11-08T22:31:55.000Z,"1975 Chum Redd",1975,"Piper's Creek",Chum,Unknown,47.710802,-122.371719,5,5284349,547128,10T,,,Redd,,,,,,,,Active
1cbec766-da48-4912-b1b3-33e8173e3fdd,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:32:14.250Z,2022-11-08T22:32:24.000Z,"1680 Coho Dead",1680,"Piper's Creek",Coho,Female,47.711121,-122.372842,6,5284383,547043,10T,,,Dead,"In creek",No,21,5,"12-24 hours",Unspawned,Yes,
eb6de655-f35f-4408-b22b-1655dddb6bb3,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:31:36.618Z,2022-11-08T22:31:53.000Z,"1975 Coho Redd",1975,"Piper's Creek",Coho,Unknown,,,,,,,,,Redd,,,,,,,,Active
9d3a4e37-3716-40e9-af8d-a8d520b0b2bd,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:31:24.342Z,2022-11-08T22:00:18.000Z,"1975 Chum Live",1975,"Piper's Creek",Chum,Male,47.711034,-122.372013,76,5284374,547105,10T,,,Live,,,,,,,,
f196e21a-26a0-4a83-ac98-e3d637a8219e,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:30:35.024Z,2022-11-08T22:32:22.000Z,"1660 Coho Dead",1660,"Piper's Creek",Coho,Male,47.711193,-122.372954,5,5284391,547035,10T,,https://five.epicollect.net/api/media/salmon-survey-2022?type=photo&format=entry_original&name=f196e21a-26a0-4a83-ac98-e3d637a8219e_1667939424.jpg,Dead,"In creek",Yes,,3,"1-12 hours",Unspawned,Unknown,
37505235-5976-40f2-8aa2-bdd566f90f9f,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:30:12.873Z,2022-11-08T22:31:49.000Z,"1950 Chum Live",1950,"Piper's Creek",Chum,Female,47.710831,-122.371755,5,5284352,547125,10T,,,Live,,,,,,,,
bcfe3e52-8809-4535-a7f5-d7a375e83905,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:29:56.740Z,2022-11-08T22:31:47.000Z,"1950 Chum Live",1950,"Piper's Creek",Chum,Female,47.710867,-122.371739,5,5284356,547126,10T,,,Live,,,,,,,,
014cb551-8dae-4961-8c1f-545bd7b0f81f,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:29:54.876Z,2022-11-08T22:00:16.000Z,"1950 Chum Live",1950,"Piper's Creek",Chum,Male,47.710893,-122.371966,24,5284358,547109,10T,,,Live,,,,,,,,
